time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T16:21:07.580Z,19.1338329315186,-155.401672363281,32.7999992370605,1.85000002,md,38,180,,0.109999999,hv,hv73007347,2022-05-09T16:24:49.120Z,"11 km SE of Pāhala, Hawaii",earthquake,0.57,0.860000014,1.39999998,14,automatic,hv,hv
2022-05-09T16:20:21.660Z,18.0201666666667,-66.9693333333333,8.14,1.78,md,3,212,,0.06,pr,pr71348078,2022-05-09T16:32:45.530Z,"3 km SW of Liborio Negron Torres, Puerto Rico",earthquake,1.31,31.61,0.170069309222299,3,reviewed,pr,pr
2022-05-09T16:20:02.220Z,45.9128333,-112.2486667,-2,0.47,md,8,167,0.02,0.06,mb,mb80545374,2022-05-09T19:49:37.670Z,"12 km WNW of Whitehall, Montana",quarry blast,0.56,31.61,0.511,3,reviewed,mb,mb
2022-05-09T16:14:59.534Z,-35.3967,-103.2463,10,5,mb,,120,24.289,0.73,us,us7000h85r,2022-05-09T18:38:26.040Z,"southeast of Easter Island",earthquake,5,2,0.058,102,reviewed,us,us
2022-05-09T16:10:56.585Z,38.1638,-117.8661,3.1,1.5,ml,10,107.71,0.078,0.1539,nn,nn00838543,2022-05-09T17:21:36.335Z,"32 km SE of Mina, Nevada",earthquake,,2.9,0.95,5,reviewed,nn,nn
2022-05-09T16:09:27.286Z,38.1574,-117.8708,5.7,1.7,ml,10,90.22,0.072,0.167,nn,nn00838541,2022-05-09T17:15:22.053Z,"33 km SE of Mina, Nevada",earthquake,,3.1,0.25,5,reviewed,nn,nn
2022-05-09T16:07:05.557Z,38.1615,-117.8664,3.9,2.4,ml,9,151.59,0.077,0.1391,nn,nn00838540,2022-05-09T17:09:07.141Z,"33 km SE of Mina, Nevada",earthquake,,3.5,0.26,5,reviewed,nn,nn
2022-05-09T15:40:05.370Z,33.6396667,-116.6963333,13.87,1.15,ml,28,54,0.03469,0.1,ci,ci40254808,2022-05-09T17:32:31.340Z,"10km NNW of Anza, CA",earthquake,0.17,0.35,0.199,17,reviewed,ci,ci
2022-05-09T15:39:57.640Z,33.6435,-116.6965,13.57,0.9,ml,24,52,0.03163,0.08,ci,ci40254800,2022-05-09T17:15:54.061Z,"10km NNW of Anza, CA",earthquake,0.18,0.25,0.162,14,reviewed,ci,ci
2022-05-09T15:35:35.757Z,24.8084,122.1846,113.31,4.4,mb,,50,0.645,0.46,us,us7000h859,2022-05-09T16:16:14.040Z,"44 km E of Yilan, Taiwan",earthquake,6.3,5.7,0.064,73,reviewed,us,us
2022-05-09T15:35:09.172Z,31.60739783,-103.9787457,9.267944336,3,ml,16,63,0.08079460116,0.1,tx,tx2022jbbg,2022-05-09T18:42:12.040Z,"36 km NNW of Toyah, Texas",earthquake,0.8821045137,1.085347178,0.2,24,reviewed,tx,tx
2022-05-09T15:33:10.577Z,57.8859,-156.2184,120.6,2.2,ml,,,,0.87,ak,ak0225xlgd65,2022-05-09T16:00:13.040Z,"77 km ESE of Egegik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-05-09T15:33:06.860Z,35.6863333,-117.4976667,6.1,0.75,ml,9,160,0.1037,0.16,ci,ci40254792,2022-05-09T17:07:29.002Z,"12km SW of Searles Valley, CA",earthquake,1.06,1.89,0.13,5,reviewed,ci,ci
2022-05-09T15:20:49.202Z,-17.9359,65.1543,10,4.8,mb,,74,9.44,0.51,us,us7000h852,2022-05-09T15:54:17.040Z,"266 km NE of Port Mathurin, Mauritius",earthquake,11.9,1.9,0.093,39,reviewed,us,us
2022-05-09T15:06:34.130Z,38.7869987,-122.7624969,1.66,2.38,md,47,66,0.01378,0.08,nc,nc73731316,2022-05-09T18:28:15.296Z,"1km NNW of The Geysers, CA",earthquake,0.18,0.26,0.1,21,automatic,nc,nc
